,Epochs,Train Profit,Validate Profit
0,1,-9347.517383000004,-4152.349946999997
1,2,-9347.895479000003,-4152.349946999997
2,3,-9330.468172999997,-4185.499947999997
3,4,-9332.411235999996,-4185.499947999997
4,5,-9301.928323999999,-3627.9499529999975
5,6,-9096.660974999995,-3496.599946999998
6,7,-9093.201830999997,-3370.099946999998
7,8,-9154.579455,-3147.0499439999976
8,9,-9078.752136999996,-3022.1499419999964
9,10,-9150.350708999991,-3021.8999419999946
10,11,-9156.054356999997,-2864.3999419999946
11,12,-9159.116465999996,-2742.9999399999942
12,13,-9075.985859999993,-2742.9999399999942
13,14,-9104.155955999991,-2713.899948999997
14,15,-9114.139772999988,-2713.899948999997
15,16,-9097.030695999994,-2713.899948999997
16,17,-9099.47773699999,-2792.149948999997
17,18,-9114.168531999989,-2309.249938999994
18,19,-9077.743225999991,-2309.249938999994
19,20,-9102.522316999988,-1868.749938999992
20,21,-9102.986106999997,-1763.5499419999924
21,22,-9126.005316999985,-1763.5499419999924
22,23,-9087.653637999994,-1763.5499419999924
23,24,-9134.84455599999,-1763.5499419999924
24,25,-9075.620186999997,-1763.5499419999924
25,26,-9112.515063999997,-1519.349945999993
26,27,-9096.232300000003,-1491.3499609999944
27,28,-9096.310106000003,-1230.449966999995
28,29,-9142.305248,-1230.449966999995
29,30,-9140.524762999994,-993.8499699999957
30,31,-9126.157755000011,-993.8499699999957
31,32,-9143.554473000017,-859.899972999996
32,33,-9121.540603000025,-862.0999699999957
33,34,-9136.011228000025,-880.8499699999957
34,35,-9085.033647000007,-1129.5499679999957
35,36,-9083.390465000026,-1129.5499679999957
36,37,-9132.622569000025,-1021.449969999996
37,38,-9088.873773000014,-916.8499719999963
38,39,-8583.98225400001,-1032.7499659999958
39,40,-8564.414140000008,-1099.299976999997
40,41,-7532.544245000014,-1136.4499709999964
41,42,-7563.877641000017,-1120.8499639999955
42,43,-6871.300228000008,-1132.5999729999967
43,44,-7124.190606000014,-1232.5999729999967
44,45,-6658.705689000028,-1227.649975999997
45,46,-6047.265349000034,-1189.6999709999964
46,47,-6412.991037000017,-928.6999709999964
47,48,-6926.684314000002,-940.5999569999949
48,49,-6047.595716999982,-959.5499539999946
49,50,-6644.651495999995,-735.4999509999943
50,51,-8777.035903999995,-709.6999559999949
51,52,-8725.053384,-529.4999599999956
52,53,-8642.213697000003,-451.54996299999584
53,54,-8605.691442999989,-465.59996599999613
54,55,-8638.499119999997,-665.6999719999967
55,56,-8512.384603999986,-661.1999719999967
56,57,-8869.690298000001,-541.5499699999964
57,58,-9078.200195000001,-558.9499719999967
58,59,-9113.163510999982,-558.9499719999967
59,60,-9029.759484999993,-482.099973999997
60,61,-8847.772573999986,-685.2999699999964
61,62,-8549.563945999995,-667.1499679999961
62,63,-8536.85427799999,-843.8999679999961
63,64,-8545.039569999979,-656.2999699999964
64,65,-8776.075179999976,-452.6999799999976
65,66,-8654.729987999966,-540.849973999997
66,67,-8702.927197999968,-540.849973999997
67,68,-8628.202823999969,-230.34997399999702
68,69,-8654.570153999968,-230.34997399999702
69,70,-8484.768642999969,-314.99997599999733
70,71,-8496.41132599997,-197.89997799999765
71,72,-7028.332902999967,-197.89997799999765
72,73,-5513.116372999977,-126.19998099999793
73,74,-4393.295277999992,-126.19998099999793
74,75,-4236.521571999985,-126.19998099999793
75,76,-3728.519170999997,-126.19998099999793
76,77,-3869.646841000008,-134.59997499999736
77,78,-4207.9975320000285,-203.64997799999765
78,79,-5200.101225000008,-203.64997799999765
79,80,-4840.878225000027,-203.64997799999765
80,81,-5479.932637999995,-203.54997199999707
81,82,-7555.130560999996,-203.54997199999707
82,83,-7685.420877999997,-290.39996999999676
83,84,-6054.171056000012,-290.39996999999676
84,85,-5703.942358000009,-479.2999639999962
85,86,-4723.324161000035,-479.2999639999962
86,87,-5782.762540000027,-479.2999639999962
87,88,-6710.309452000031,-484.1999579999956
88,89,-4764.958635000041,-475.0999599999959
89,90,-4201.40663000005,-350.9499659999965
90,91,-5406.868758000023,-336.44998099999793
91,92,-6608.346832000022,-336.44998099999793
92,93,-5398.110254000031,-352.7999869999985
93,94,-5099.6095550000255,-352.7999869999985
94,95,-5556.934728000028,-321.6999969999997
95,96,-5628.216224000025,-321.6999969999997
96,97,-6523.20873500003,-321.6999969999997
97,98,-7198.199531000015,-350.1499929999991
98,99,-9036.30565500001,-397.44998099999793
99,100,-8782.69707200002,-379.3499839999986
100,101,-9057.401955000008,-379.3499839999986
101,102,-8774.268785000013,-299.9999859999989
102,103,-8646.09392200001,-299.9999859999989
103,104,-9065.284555000026,-329.4499819999983
104,105,-9134.248462000016,-329.4499819999983
105,106,-9080.801134000032,-305.2999729999974
106,107,-9086.633106000027,-312.8499679999968
107,108,-9120.661593000026,-307.49996199999623
108,109,-9121.012503000027,-307.49996199999623
109,110,-9109.988400000026,-307.49996199999623
110,111,-9102.74196900002,-307.49996199999623
111,112,-8697.572163000028,-307.49996199999623
112,113,-8533.021382000028,-307.49996199999623
113,114,-8816.842782000025,-307.49996199999623
114,115,-8901.951718000026,-307.49996199999623
115,116,-8904.525741000003,-315.24996199999623
116,117,-8818.899537000008,-315.24996199999623
117,118,-8845.503241000022,-315.24996199999623
118,119,-8811.241112000032,-315.24996199999623
119,120,-8885.336524000017,-329.99996199999623
120,121,-8615.716911000018,-329.99996199999623
121,122,-6831.105797999999,-329.99996199999623
122,123,-7773.478417000013,-329.99996199999623
123,124,-7617.490034000021,-329.99996199999623
124,125,-7361.6459390000055,-329.99996199999623
125,126,-6153.924340000027,-329.99996199999623
126,127,-7299.859028000003,-413.0999599999959
127,128,-8663.253582000018,-413.0999599999959
128,129,-8696.070086000025,-374.3999629999962
129,130,-8733.828725000014,-353.54997199999707
130,131,-8168.145557000025,-353.54997199999707
131,132,-7967.590761000013,-353.54997199999707
132,133,-8895.762438000014,-353.54997199999707
133,134,-8832.52035500001,-353.54997199999707
134,135,-8821.234775000006,-353.54997199999707
135,136,-8308.419175,-353.54997199999707
136,137,-8870.115322000012,-353.54997199999707
137,138,-8913.891610000019,-356.9999689999968
138,139,-8891.88742300002,-433.84996699999647
139,140,-7019.238839999991,-439.74997599999733
140,141,-7134.590189999996,-454.3999849999982
141,142,-6750.14258199998,-454.3999849999982
142,143,-5594.591659000017,-454.3999849999982
143,144,-8093.048302000002,-646.9999909999988
144,145,-7267.620387000015,-646.9999909999988
145,146,-6694.176898000002,-646.9999909999988
146,147,-8901.181268999995,-646.9999909999988
147,148,-8887.819823999997,-667.7999859999982
148,149,-8885.21781899999,-667.7999859999982
149,150,-8874.437796999991,-667.7999859999982
