,Epochs,Train Profit,Validate Profit
0,1,-9230.299998999999,-5859.049967999999
1,2,-9201.099986999998,-5588.049967999999
2,3,-9218.099986999996,-5369.049967999998
3,4,-8950.949985999996,-5369.049967999998
4,5,-8836.349987999996,-5365.449969999999
5,6,-8603.049983999996,-5372.499973
6,7,-7474.649989999995,-5256.599970999999
7,8,-7349.549983999996,-5044.099970999998
8,9,-6540.999965999994,-5044.099970999998
9,10,-6356.899959999996,-4927.399973999998
10,11,-5590.899953999996,-5041.399973999998
11,12,-5236.399954999994,-4805.249971999999
12,13,-4921.099966999994,-4475.649965999998
13,14,-4666.849966999994,-4144.449968999999
14,15,-3826.899969999995,-4144.449968999999
15,16,-3694.299970999996,-4067.399965999999
16,17,-3856.049970999996,-4067.399965999999
17,18,-4041.249974999996,-3627.649965999998
18,19,-3853.4499869999972,-3627.649965999998
19,20,-3649.449986999998,-3382.549966999998
20,21,-3590.4499869999972,-3026.4499599999963
21,22,-4018.999974999996,-3026.4499599999963
22,23,-3705.8499729999958,-3026.4499599999963
23,24,-3830.899975999996,-2789.549965999997
24,25,-3410.5999729999967,-2789.549965999997
25,26,-2701.299969999998,-2451.9499599999963
26,27,-2723.599957999996,-2359.2499629999966
27,28,-3631.149967999998,-2090.4499749999977
28,29,-3816.0999649999967,-1902.2499789999983
29,30,-3882.1999639999967,-1902.2499789999983
30,31,-2874.0999739999997,-1696.2499789999983
31,32,-2981.0999739999997,-1696.2499789999983
32,33,-2731.599973999998,-1696.2499789999983
33,34,-2249.549986,-1696.2499789999983
34,35,-2800.0999889999985,-1566.7499789999983
35,36,-3248.3499889999975,-1456.7499789999983
36,37,-2962.1499769999964,-1456.7499789999983
37,38,-2535.4999839999973,-1456.7499789999983
38,39,-2939.3499829999964,-1456.7499789999983
39,40,-2664.6499699999968,-1456.7499789999983
40,41,-2935.8499749999974,-1533.2499789999983
41,42,-3760.3499759999986,-1533.2499789999983
42,43,-2706.349952999997,-1530.049982999999
43,44,-2333.799957999998,-1422.049982999999
44,45,-2161.199951999998,-1142.049982999999
45,46,-706.9999699999989,-1145.7499799999987
46,47,-720.949967999999,-890.449983999999
47,48,-917.1499650000005,-887.3499859999993
48,49,-2048.599969000001,-887.3499859999993
49,50,-2047.0999759999986,-887.3499859999993
