,Epochs,Train Profit,Validate Profit
0,1,212.90516499999467,1.7000180000013643
1,2,229.8243569999904,1.9500180000013643
2,3,222.9534659999972,1.9500180000013643
3,4,220.71555999999146,4.100019000001339
4,5,208.27084999999533,1.800016000001051
5,6,196.53247499999634,1.800016000001051
6,7,186.58096299999306,1.500013000000763
7,8,166.46846999999434,1.500013000000763
8,9,178.88393299998825,1.200010000000475
9,10,200.888727999989,1.200010000000475
10,11,239.56789299999218,1.200010000000475
11,12,220.55028999998467,1.200010000000475
12,13,210.23680999999306,5.5500090000005
13,14,241.29587499999434,5.5500090000005
14,15,242.9437699999853,4.0500090000005
15,16,192.01925499999197,3.900007000000187
16,17,182.6737709999943,0.2500210000016523
17,18,179.83577899998818,-13.849984999998924
18,19,161.2231709999869,-12.24997699999767
19,20,162.62074999998003,-12.24997699999767
20,21,162.6862909999927,-9.799979999997959
21,22,177.04550299999028,-9.799979999997959
22,23,198.51949899998726,-11.449981999998272
23,24,236.43515799999295,-8.99998499999856
24,25,297.97858299999643,-25.249986999999237
25,26,306.95303200000126,-22.299982999998974
26,27,305.7478099999971,-43.14997399999811
27,28,319.8257339999964,-43.14997399999811
28,29,362.8065499999957,-39.04997599999842
29,30,453.4636379999938,-26.999972999998135
30,31,495.8180469999934,-26.999972999998135
31,32,501.6408049999973,-26.89997399999811
32,33,443.79909599999337,-26.89997399999811
33,34,428.74280899999394,-26.89997399999811
34,35,488.61360999999306,-26.89997399999811
35,36,568.7494939999906,-44.54997599999842
36,37,653.273474999989,-44.54997599999842
37,38,708.726369999993,-41.59997899999871
38,39,642.9006949999948,-46.4499769999984
39,40,682.6222839999955,-46.4499769999984
40,41,725.6264429999956,-47.09997799999837
41,42,760.9182819999896,-34.049974999998085
42,43,768.8477669999884,-36.74997099999746
43,44,770.3904859999911,-22.74997099999746
44,45,841.7151859999958,-13.199965999996493
45,46,878.2889849999938,-7.7999629999958415
46,47,1079.0428359999896,-7.7999629999958415
47,48,1082.0416999999925,-0.5999659999961295
48,49,1107.2279329999874,-1.4499719999967056
49,50,1117.424246999988,-6.54997899999762
