,Epochs,Train Profit,Validate Profit
0,1,-9525.582799000003,-9910.400004
1,2,-9517.156195000003,-9885.149995999998
2,3,-9486.672714000004,-9849.150003999997
3,4,-9504.837004000006,-9922.700006999998
4,5,-9498.580895000008,-9913.150011999998
5,6,-9511.0391,-9912.100000999997
6,7,-9505.610011,-9900.850001999997
7,8,-9576.261099999998,-9860.199992999998
8,9,-9572.752905000001,-9860.199992999998
9,10,-9566.803476999998,-9860.699999999999
10,11,-9567.478583999997,-9883.099994
11,12,-9574.801571999997,-9883.099994
12,13,-9579.036290999995,-9824.699992
13,14,-9488.029480999994,-9547.199992000002
14,15,-9559.185889999993,-9547.199992000002
15,16,-9572.92409499999,-9342.899988
16,17,-9575.609170999986,-9223.349984999999
17,18,-9469.019564999984,-8565.549975
18,19,-9461.753397999984,-8444.449977
19,20,-9467.569830999986,-8334.549975
20,21,-9472.171321999987,-8408.849978
21,22,-9389.139301999989,-8031.549975
22,23,-9408.110673999989,-7804.299975
23,24,-9401.128697999993,-7677.499972
24,25,-9340.619606999993,-7577.499972
25,26,-9349.664841999998,-7274.099970999998
26,27,-9316.327029,-7196.749972999998
27,28,-9294.549501999996,-6999.499972999998
28,29,-9322.361999999992,-6871.649974999999
29,30,-9325.523728999997,-6589.249980999999
30,31,-9276.998624999997,-6461.149974999999
31,32,-9279.621315999999,-6590.499971999998
32,33,-9365.872276999995,-6152.599977999999
33,34,-9357.151402999993,-6152.599977999999
34,35,-9364.916703999996,-5340.299975000002
35,36,-9290.788437999992,-5264.999972000001
36,37,-9319.761810999991,-5264.999972000001
37,38,-9357.027511999997,-4942.549975000002
38,39,-9314.369427999984,-4758.749980000002
39,40,-9337.292743999984,-4758.749980000002
40,41,-9241.247526999989,-4674.349978000002
41,42,-9255.21863599999,-4589.049984000003
42,43,-9250.76629499999,-4589.049984000003
43,44,-9263.982412999996,-4702.949986000003
44,45,-9249.08729099999,-4588.149983000003
45,46,-9246.208477999988,-4647.349980000003
46,47,-9189.177649999987,-4751.549986000004
47,48,-9246.276870999991,-4368.049994000003
48,49,-9235.063532999988,-4169.249990000002
49,50,-9178.715150999979,-4169.249990000002
