,Epochs,Train Profit,Validate Profit
0,1,-9757.405917999993,-5566.800004
1,2,-9663.335909999998,-5117.500008
2,3,-9659.935199999998,-5117.500008
3,4,-9665.106211999997,-5117.500008
4,5,-9636.256213999997,-4769.900000999999
5,6,-9657.355402999996,-4543.499999999999
6,7,-9631.562005999995,-4317.150000999999
7,8,-9665.369080999997,-4077.7500070000006
8,9,-9617.469055999994,-3845.950003
9,10,-9514.719055999994,-3236.650015000001
10,11,-9548.317863999997,-2778.9500100000005
11,12,-9507.661247000007,-2414.9500100000005
12,13,-9481.956558000005,-2185.550016000001
13,14,-9564.503547000004,-1953.550016000001
14,15,-9560.387541000004,-1742.0000130000008
15,16,-9518.045554,-1287.8000170000014
16,17,-9516.598929,-716.7500130000008
17,18,-9454.405943000003,-716.7500130000008
18,19,-9387.703138000004,-638.1000110000004
19,20,-9404.556135000008,-637.550016000001
20,21,-9413.377143000005,-517.3500200000017
21,22,-9428.937157000004,-539.4500190000017
22,23,-8759.297965000002,-431.4500190000017
23,24,-7613.050001,-355.8000170000014
24,25,-7056.125091,-339.75001300000076
25,26,-6383.032760999997,-336.05002400000194
26,27,-5676.299971999995,-31.250021000001652
27,28,-4954.00004599999,-34.950018000001364
28,29,-4357.130050999991,-4.0500150000007125
29,30,-3706.7345669999922,-2.0500150000007125
30,31,-3225.08455899999,-2.0500150000007125
31,32,-3150.9123479999926,-2.0500150000007125
32,33,-2921.733751999991,6.2499879999995755
33,34,-2635.377367999994,13.699983999998949
34,35,-2627.7273819999955,13.699983999998949
35,36,-2233.6773889999968,16.89998799999921
36,37,-2080.812390999996,10.699983999998949
37,38,-2193.663418999997,10.699983999998949
38,39,-2106.022516999994,10.699983999998949
39,40,-2134.5225019999925,20.849977999998373
40,41,-2004.6336149999934,20.849977999998373
41,42,-1859.977608999996,20.849977999998373
42,43,-1827.3016149999949,-10.050016000001051
43,44,-1720.9974919999931,-10.050016000001051
44,45,-1927.9757029999928,-10.300016000001051
45,46,-2113.5200369999948,-10.300016000001051
46,47,-1704.256249999993,-16.35001100000045
47,48,-1905.4461229999924,-2.8000150000007125
48,49,-1814.7115279999944,-4.650013000000399
49,50,-2081.4115179999935,-4.650013000000399
