,Epochs,Train Profit,Validate Profit
0,1,-25.41109700000925,22.449995999999373
1,2,-40.11099500001001,17.849975999997696
2,3,-42.93990100001065,13.49997799999801
3,4,-51.993872000010015,13.49997799999801
4,5,-42.17896200001087,12.699974999997721
5,6,-52.45275000001129,18.849968999997145
6,7,-34.1817450000126,8.94996799999717
7,8,-32.22674300001199,8.94996799999717
8,9,-28.066739000010784,13.099969999997484
9,10,-66.13654700001098,13.099969999997484
10,11,-83.72802700001012,13.099969999997484
11,12,-74.90512800001306,13.099969999997484
12,13,-105.50783100000808,13.099969999997484
13,14,-90.37192800000776,13.099969999997484
14,15,-88.34353800001008,10.799974999998085
15,16,-81.9460390000113,8.499971999997797
16,17,-105.78283800001009,8.499971999997797
17,18,-100.88493300000846,7.099969999997484
18,19,-96.96414000000914,4.999970999997458
19,20,-132.76916400000664,16.249979999998686
20,21,-183.94826200000352,20.549983999999313
21,22,-153.80443200000263,26.299983999999313
22,23,-209.53640499999892,14.749980999999025
23,24,-204.26341800000228,5.099977999998373
24,25,-177.01123499999994,1.6499639999965439
25,26,-154.08992899999794,1.6499639999965439
26,27,-157.44891499999903,1.6499639999965439
27,28,-185.47171100000014,-18.450049000004583
28,29,-216.6479900000013,-20.200040000003355
29,30,-215.2925589999959,-48.150045000003956
30,31,-169.64459199999692,-94.9500410000037
31,32,-209.00859300000047,-94.9500410000037
32,33,-194.17758799999865,-93.100043000004
33,34,-183.45836299999428,-93.100043000004
34,35,-281.3243770000008,-93.100043000004
35,36,-211.69847399999344,-113.9000320000032
36,37,-220.64658799999415,-86.9000240000023
37,38,-240.59439799999745,-52.950026000002254
38,39,-325.6164359999966,-45.200018000001364
39,40,-334.4664560000001,-60.900015000001076
40,41,-447.6909829999913,-60.900015000001076
41,42,-318.37306499998704,-60.900015000001076
42,43,-215.53568799997993,-50.5500090000005
43,44,-226.10088799997902,-106.8500039999999
44,45,-340.3260959999752,-106.8500039999999
45,46,-839.7359839999808,-106.8500039999999
46,47,-899.7218909999847,-104.45000299999992
47,48,-837.4186059999847,-90.20000299999992
48,49,-1625.9230749999879,-179.30001099999936
49,50,-2102.552458999987,-210.55001099999936
