,Epochs,ITC Profit
0,1,-53.40000000000691
1,2,-167.25000000000182
2,3,-5526.600000000003
3,4,-8376.600000000004
4,5,-8960.150000000001
5,6,-9217.300000000003
6,7,-9192.849999999999
7,8,-9189.6
8,9,-9204.249999999998
9,10,-9212.699999999997
10,11,-8946.449999999999
11,12,-8967.349999999999
12,13,-8800.0
13,14,-5623.800000000008
14,15,-3415.3500000000085
15,16,-1451.8500000000095
16,17,-923.3500000000131
17,18,-929.800000000012
18,19,-1269.850000000013
19,20,-1782.9500000000116
20,21,-3960.150000000005
21,22,-5307.4000000000015
22,23,-5656.6
23,24,-6990.999999999998
24,25,-5832.600000000001
25,26,-8030.849999999998
26,27,-6559.149999999999
27,28,-5216.549999999998
28,29,-5507.299999999999
29,30,-5817.2
30,31,-5508.049999999999
31,32,-4985.5999999999985
32,33,-3560.4000000000005
33,34,-1856.200000000007
34,35,-39.29999999999745
35,36,-1029.0000000000018
36,37,-2754.249999999999
37,38,-3303.149999999996
38,39,-2792.399999999997
39,40,-1376.8999999999996
40,41,-288.5500000000029
41,42,-559.6000000000004
42,43,-1099.1499999999978
43,44,-1664.7500000000036
44,45,-1144.7000000000044
45,46,-73.89999999999782
46,47,-50.70000000000255
47,48,-2537.249999999999
48,49,-3371.1000000000004
49,50,-3071.8
