Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-Aug-19,422,444.8,420.8,437.55,434.3292763,904195,11701,392718360,87769,9.71,24,15.55
14-Aug-19,440.7,440.7,408.15,417.05,417.9056369,1009748,13094,421979381,114418,11.33,32.55,-23.65
16-Aug-19,419.85,424,410.1,414.75,414.593626,312082,6080,129387208,35874,11.5,13.9,-5.1
19-Aug-19,425.4,434.2,421.1,425.8,427.3677541,681556,10318,291275057,66215,9.72,13.1,0.4
20-Aug-19,426,427,417.45,420.8,421.4855338,429552,4766,181049954,40750,9.49,9.55,-5.2
21-Aug-19,421,425.65,413.9,417.3,418.7869957,352744,4905,147724600,62148,17.62,11.75,-3.7
22-Aug-19,416,420.65,408.85,414.5,414.8283477,275761,3743,114393480,27390,9.93,11.8,-1.5
23-Aug-19,417.8,429.9,409,427.7,421.4820628,330096,4514,139129543,53248,16.13,20.9,9.9
26-Aug-19,429.9,429.9,415.5,419.3,420.1697644,243508,4001,102314699,34236,14.06,14.4,-10.6
27-Aug-19,424,425.75,415.4,416.65,418.872061,256294,4667,107354396,65123,25.41,10.35,-7.35
28-Aug-19,417,421.7,411.6,412.75,416.4410404,198585,3075,82698944,36464,18.36,10.1,-4.25
29-Aug-19,428,438.5,421.25,434.65,430.1243703,921265,13776,396258528,135070,14.66,17.25,6.65
30-Aug-19,433.6,453.5,430.15,450.65,444.0868498,643836,9695,285919101,109398,16.99,23.35,17.05
03-Sep-19,450.35,456.05,434.5,439.45,447.612098,558422,7377,249956443,94206,16.87,21.55,-10.9
04-Sep-19,423,429.6,401.5,426.4,415.8800837,1561356,20366,649336864,118678,7.6,28.1,3.4
05-Sep-19,428,433.75,423.8,431.95,429.5412741,415636,6270,178532817,31598,7.6,9.95,3.95
06-Sep-19,417,426.9,414.6,424.9,420.4467248,653794,8709,274885546,103761,15.87,12.3,7.9
09-Sep-19,425,432.4,425,428.8,429.4740783,377733,4897,162226532,43482,11.51,7.4,3.8
11-Sep-19,430.1,435.2,421,422.05,427.0498146,377861,5187,161365470,71566,18.94,14.2,-8.05
12-Sep-19,426,439.8,419.65,427.7,430.1724883,588956,7638,253352668,57402,9.75,20.15,1.7
13-Sep-19,432,432.75,421.5,423.25,425.8114812,329564,4283,140332135,49631,15.06,11.25,-8.75
16-Sep-19,422,429.4,420.5,426.65,425.8885783,252554,3390,107559864,36129,14.31,8.9,4.65
17-Sep-19,426.65,427.6,419.15,420.65,422.7840378,176216,2265,74501312,36502,20.71,8.45,-6
18-Sep-19,424.65,424.85,414.45,416.8,418.4237658,263471,3575,110242528,34838,13.22,10.4,-7.85
19-Sep-19,416.85,419,408.35,410.9,412.3191951,215185,3345,88724906,38124,17.72,10.65,-5.95
20-Sep-19,414,420.6,408.1,413.95,415.0237323,443867,5536,184215339,58746,13.24,12.5,-0.05
23-Sep-19,420,424,405.5,408.6,413.3184104,539772,7142,223097705,97837,18.13,18.5,-11.4
24-Sep-19,408.8,419.6,406.4,410.05,410.7874155,1637824,5484,672797488,1333967,81.45,13.2,1.25
25-Sep-19,410,413,401.9,406.75,406.7477092,341364,5156,138849025,62056,18.18,11.1,-3.25
26-Sep-19,407,413,405.45,412,409.7024462,273322,3916,111980692,40221,14.72,7.55,5
27-Sep-19,413.7,413.7,400.75,401.8,405.0396148,230192,3426,93236879,64663,28.09,12.95,-11.9
30-Sep-19,403,403.75,386.65,389.65,391.5659276,359652,5268,140827469,93147,25.9,17.1,-13.35
01-Oct-19,389.8,396.2,380.3,386.55,388.5840739,225052,3303,87451623,37435,16.63,15.9,-3.25
03-Oct-19,385,391.25,377.4,388.2,385.4848433,211986,3520,81717390,31198,14.72,13.85,3.2
04-Oct-19,392,394,384.3,385.9,387.9998596,163776,2928,63545065,31633,19.31,9.7,-6.1
07-Oct-19,388,388,372.6,379.85,378.353139,332968,4451,125979488,43769,13.15,15.4,-8.15
09-Oct-19,379,387.6,374.4,383.55,380.2624284,227845,3082,86640893,63097,27.69,13.2,4.55
10-Oct-19,384.9,389.8,378.9,386.95,385.32688,216685,3740,83494555,32370,14.94,10.9,2.05
11-Oct-19,386.95,388.9,381.6,386.3,384.7509748,213376,2903,82096624,36573,17.14,7.3,-0.65
14-Oct-19,386.3,399,386.3,394.6,394.9007464,194794,2867,76924296,50070,25.7,12.7,8.3
15-Oct-19,397.25,400,392.5,396.6,396.6263857,140364,2040,55672066,25894,18.45,7.5,-0.65
16-Oct-19,399,402,394.7,399.5,398.9611297,190711,2584,76086276,31414,16.47,7.3,0.5
17-Oct-19,400,402.6,396.7,401.4,399.8434498,157598,2643,63014528,36907,23.42,5.9,1.4
18-Oct-19,401.6,406.4,397.8,401.4,402.5345474,247486,4076,99621665,42115,17.02,8.6,-0.2
22-Oct-19,402,408,400,405.55,405.465206,231304,5259,93785724,48978,21.17,8,3.55
23-Oct-19,405.55,411.3,403.25,405.3,406.6658431,196294,2461,79826065,29507,15.03,8.05,-0.25
