,Epochs,SBI Profit
0,1,-8233.3
1,2,-5979.199999999995
2,3,-2433.45
3,4,-2650.550000000001
4,5,-4579.199999999994
5,6,-5763.699999999998
6,7,-6874.649999999996
7,8,-4836.149999999988
8,9,-44.59999999999127
9,10,-12.549999999993815
10,11,-101.69999999999891
11,12,-104.69999999999709
12,13,76.9000000000051
13,14,184.60000000000036
14,15,184.60000000000036
