,Epochs,ONGC Profit
0,1,68.10000000001128
1,2,84.10000000000764
2,3,-1785.0500000000065
3,4,-3657.100000000003
4,5,-6538.8499999999985
5,6,-7596.849999999998
6,7,-6983.650000000001
7,8,-6486.250000000002
8,9,-6131.799999999997
9,10,-4621.000000000004
10,11,-4202.500000000003
11,12,-4209.250000000002
12,13,-4059.2000000000025
13,14,-3215.300000000004
14,15,-2986.550000000003
15,16,-2324.7500000000036
16,17,-2027.5500000000075
17,18,-2756.5500000000075
18,19,-3550.650000000007
19,20,-4365.400000000008
20,21,-4531.900000000006
21,22,-3819.600000000006
22,23,-3099.350000000006
23,24,-1956.1000000000067
24,25,-307.350000000004
25,26,-1754.650000000005
26,27,-1619.0000000000055
27,28,-175.14999999999418
28,29,157.85000000000764
29,30,157.85000000000764
